weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
16.0,2015,1415,K.Cousins,QB,WAS,a,PHI,32.2,7500.0,2015122600,2015-12-26,00-0029604,46,31,365,4,0,1,1,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,-3,0,1,QB,17.18
16.0,2015,1442,B.Bortles,QB,JAC,a,NO,31.22,8200.0,2015122700,2015-12-27,00-0031407,35,27,368,4,2,3,1,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,1,-5,0,1,QB,23.8
16.0,2015,1151,D.Brees,QB,NO,h,JAC,28.18,8200.0,2015122700,2015-12-27,00-0020531,36,25,412,3,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,21.92
16.0,2015,1242,R.Fitzpatrick,QB,NYJ,h,NE,23.14,7700.0,2015122702,2015-12-27,00-0023682,41,26,296,3,0,0,0,2,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,QB,17.7
16.0,2015,1340,M.Stafford,QB,DET,h,SF,21.14,7600.0,2015122705,2015-12-27,00-0026498,37,29,301,2,0,1,0,5,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,17.98
16.0,2015,1411,B.Weeden,QB,HOU,a,TEN,21.1,6300.0,2015122703,2015-12-27,00-0029677,24,15,200,2,0,0,0,2,11,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,QB,15.38
16.0,2015,1412,R.Wilson,QB,SEA,h,STL,20.46,8800.0,2015122711,2015-12-27,00-0029263,41,25,289,2,1,0,0,6,39,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,QB,19.5
16.0,2015,1465,J.Winston,QB,TB,h,CHI,19.8,7300.0,2015122708,2015-12-27,00-0031503,29,15,295,2,1,0,0,4,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,QB,16.86
16.0,2015,1207,C.Palmer,QB,ARI,h,GB,17.6,8700.0,2015122710,2015-12-27,00-0021429,27,18,265,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,17.82
16.0,2015,1344,S.Bradford,QB,PHI,h,WAS,17.6,6300.0,2015122600,2015-12-26,00-0027854,56,37,380,1,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,2,2,-12,1,1,QB,16.46
