TeamName,Abbr,PrimaryColor
Arizona Cardinals,ARI,#97233F
Atlanta Falcons,ATL,#A71930
Baltimore Ravens,BAL,#241773
Buffalo Bills,BUF,#00338D
Carolina Panthers,CAR,#0085CA
Chicago Bears,CHI,#0B162A
Cincinnati Bengals,CIN,#FB4F14
Cleveland Browns,CLE,##26201E
Dallas Cowboys,DAL,#ACC0C6
Denver Broncos,DEN,#002244
Detroit Lions,DET,#005A8B
Green Bay Packers,GB,#FFB612
Houston Texans,HOU,#03202F
Indianapolis Colts,IND,#002C5F
Jacksonville Jaguars,JAC,#006778
Kansas City Chiefs,KC,#E31837
Miami Dolphins,MIA,#B3995D
Minnesota Vikings,MIN,#008E97
New England Patriots,NE,#4F2683
New Orlean Saints,NO,#C60C30
New York Giants,NYG,#9F8958
New York Jets,NYJ,#0B2265
Oakland Raiders,OAK,#203731
Philadelphia Eagles,PHI,#A5ACAF
Pittsburgh Steelers,PIT,#004953
San Diego Chargers,SD,#000000
Seattle Seahawks,SEA,#0073CF
San Francisco 49ers,SF,#AA0000
St.Louis Rams,LAR,#69BE28
Tampa Bay Buccaneers,TB,#D50A0A
Tennessee Titans,TEN,#4B92DB
Washington Redskins,WAS,#773141
