TeamName,fanduel_2015,statistics_2015,fantasy_2015,fanduel_2016,statistics_2016,fantasy_2016
Arizona Cardinals,ari,ARI,ARI,ari,ARI,ARI
Atlanta Falcons,atl,ATL,ATL,atl,ATL,ATL
Baltimore Ravens,bal,BAL,BAL,bal,BAL,BAL
Buffalo Bills,buf,BUF,BUF,buf,BUF,BUF
Carolina Panthers,car,CAR,CAR,car,CAR,CAR
Chicago Bears,chi,CHI,CHI,chi,CHI,CHI
Cincinnati Bengals,cin,CIN,CIN,cin,CIN,CIN
Cleveland Browns,cle,CLE,CLE,cle,CLE,CLE
Dallas Cowboys,dal,DAL,DAL,dal,DAL,DAL
Denver Broncos,den,DEN,DEN,den,DEN,DEN
Detroit Lions,det,DET,DET,det,DET,DET
Green Bay Packers,gnb,GB,GB,gnb,GB,GB
Houston Texans,hou,HOU,HOU,hou,HOU,HOU
Indianapolis Colts,ind,IND,IND,ind,IND,IND
Jacksonville Jaguars,jac,JAC,JAC,jac,JAC,JAC
Kansas City Chiefs,kan,KC,KC,kan,KC,KC
Miami Dolphins,mia,MIA,MIA,mia,MIA,MIA
Minnesota Vikings,min,MIN,MIN,min,MIN,MIN
New England Patriots,nwe,NE,NE,nwe,NE,NE
New Orlean Saints,nor,NO,NO,nor,NO,NO
New York Giants,nyg,NYG,NYG,nyg,NYG,NYG
New York Jets,nyj,NYJ,NYJ,nyj,NYJ,NYJ
Oakland Raiders,oak,OAK,OAK,oak,OAK,OAK
Philadelphia Eagles,phi,PHI,PHI,phi,PHI,PHI
Pittsburgh Steelers,pit,PIT,PIT,pit,PIT,PIT
San Diego Chargers,sdg,SD,SD,sdg,SD,SD
Seattle Seahawks,sea,SEA,SEA,sea,SEA,SEA
San Francisco 49ers,sfo,SF,SF,sfo,SF,SF
St.Louis / Los Angeles Rams,stl,STL,LA,lar,LA,LA
Tampa Bay Buccaneers,tam,TB,TB,tam,TB,TB
Tennessee Titans,ten,TEN,TEN,ten,TEN,TEN
Washington Redskins,was,WAS,WAS,was,WAS,WAS
