weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
14.0,2015,6211,C.Sturgis,PK,PHI,h,BUF,13.0,4600.0,2015121300,2015-12-13,00-0030390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,45,9,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,4543,C.Clay,TE,BUF,h,CIN,10.7,5700.0,2015101804,2015-10-18,00-0028112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,62,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,4.4
15.0,2015,2613,M.Forte,RB,CHI,a,MIN,19.4,7900.0,2015122002,2015-12-20,00-0026184,0,0,0,0,0,0,0,8,47,0,13,0,0,0,6,57,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,14.0
10.0,2015,5376,A.Cooper,WR,OAK,h,MIN,10.4,7100.0,2015111508,2015-11-15,00-0031544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,13.3
13.0,2015,6167,S.Hauschka,PK,SEA,a,MIN,8.0,4900.0,2015120606,2015-12-06,00-0025944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,3,5,0,5,0,5,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,4582,T.Kelce,TE,KC,a,MIN,11.3,6200.0,2015101803,2015-10-18,00-0030506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,88,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,5.3
10.0,2015,3581,N.Washington,WR,HOU,a,CIN,4.2,5200.0,2015111600,2015-11-16,00-0023367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.4
4.0,2015,6233,J.Lambo,PK,SD,h,CLE,14.0,4500.0,2015100408,2015-10-04,00-0032087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,46,9,3,0,3,0,3,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
6.0,2015,3902,E.Decker,WR,NYJ,h,WAS,11.9,6100.0,2015101801,2015-10-18,00-0027690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,1,WR,11.7
4.0,2015,6159,M.Prater,PK,DET,a,SEA,5.0,4500.0,2015100500,2015-10-05,00-0023853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41,3,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
14.0,2015,6037,A.Vinatieri,PK,IND,a,JAC,10.0,4600.0,2015121304,2015-12-13,00-0016919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,32,9,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
1.0,2015,2719,J.Bell,RB,DET,a,SD,5.1,6500.0,2015091308,2015-09-13,00-0027218,0,0,0,0,0,0,0,6,14,0,7,0,0,0,2,27,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,7.3
16.0,2015,4552,C.Fleener,TE,IND,a,MIA,2.3,4900.0,2015122701,2015-12-27,00-0029697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.8
1.0,2015,2891,K.Davis,RB,KC,a,HOU,3.3,6000.0,2015091306,2015-09-13,00-0030280,0,0,0,0,0,0,0,6,16,0,10,0,0,0,1,12,0,12,0,0,0,1,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,4.0
14.0,2015,3770,D.Jackson,WR,WAS,a,CHI,5.3,6700.0,2015121306,2015-12-13,00-0026189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.4
10.0,2015,5341,A.Hurns,WR,JAC,a,BAL,14.7,7300.0,2015111506,2015-11-15,00-0030821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,62,1,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,12.1
3.0,2015,2928,J.Hill,RB,CIN,a,BAL,2.1,7600.0,2015092707,2015-09-27,00-0031301,0,0,0,0,0,0,0,12,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,8.0
14.0,2015,6093,M.Nugent,PK,CIN,h,PIT,9.0,4800.0,2015121302,2015-12-13,00-0023482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,46,6,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,9.0
